REF_AREA,Origin,Destination,TIME_PERIOD,Percentage_of_students
AUS,Australia,Korea,2022,0.006806158
AUS,Australia,Democratic Republic of the Congo,2022,0.001047101
AUS,Australia,Thailand,2022,1.707560333
AUS,Australia,Curaçao,2022,0
AUS,Australia,Tonga,2022,0.007591484
AUS,Australia,Holy See,2022,0
AUS,Australia,Indonesia,2022,3.014604444
AUT,Austria,Saudi Arabia,2022,0.086173284
AUT,Austria,Holy See,2022,0.010563808
AUT,Austria,Zambia,2022,0.008216295
AUT,Austria,Timor-Leste,2022,0
AUT,Austria,Comoros,2022,0
AUT,Austria,Burkina Faso,2022,0.007042539
AUT,Austria,Tokelau,2022,0
AUT,Austria,Myanmar,2022,0.01643259
AUT,Austria,Equatorial Guinea,2022,0
AUT,Austria,Australia,2022,0.121330028
AUT,Austria,Bolivia,2022,0.018597349
AUT,Austria,United Arab Emirates,2022,0.061622212
AUT,Austria,Libya,2022,0.136479115
AUT,Austria,Democratic Republic of the Congo,2022,0.017606346
AUT,Austria,Thailand,2022,0.06573036
AUS,Australia,Guyana,2022,0
AUS,Australia,Micronesia,2022,0
AUS,Australia,Italy,2022,0.369103184
AUS,Australia,Liberia,2022,0
AUS,Australia,Africa unspecified,2022,0.061778973
AUS,Australia,United States,2022,0.612292445
AUS,Australia,Maldives,2022,0.030889486
AUS,Australia,Czechia,2022,0.073035311
AUS,Australia,Congo,2022,0
AUS,Australia,Costa Rica,2022,0.00445018
AUS,Australia,South Africa,2022,0.241618609
AUS,Australia,Belgium,2022,0.034554341
AUS,Australia,Sweden,2022,0.098427516
AUS,Australia,Latin America and the Caribbean,2022,4.64389396
AUS,Australia,Syrian Arab Republic,2022,0.004711956
AUS,Australia,Uruguay,2022,0.015706518
AUS,Australia,Hong Kong,2022,2.366187007
AUS,Australia,Mozambique,2022,0.005497281
AUS,Australia,Nepal,2022,10.13463104
AUS,Australia,Kiribati,2022,0.010471012
AUS,Australia,Haiti,2022,0
AUS,Australia,Niger,2022,0
AUS,Australia,Philippines,2022,2.624035685
AUS,Australia,Panama,2022,0.002617753
AUS,Australia,Qatar,2022,0.033245464
AUS,Australia,Russia,2022,0.124866822
AUS,Australia,Saint Lucia,2022,0
AUS,Australia,Saint Kitts and Nevis,2022,0
AUS,Australia,Peru,2022,0.167274422
AUS,Australia,Nicaragua,2022,0
AUS,Australia,Sudan,2022,0.010471012
AUS,Australia,Montserrat,2022,0
AUS,Australia,Aruba,2022,0
AUS,Australia,Nauru,2022,0.006020832
AUS,Australia,Colombia,2022,1.707298557
AUS,Australia,Eritrea,2022,0
AUS,Australia,Jamaica,2022,0.001047101
AUS,Australia,Algeria,2022,0.002617753
AUS,Australia,Ukraine,2022,0.019633148
AUS,Australia,Poland,2022,0.095024437
AUS,Australia,Romania,2022,0.015444743
AUS,Australia,Bosnia and Herzegovina,2022,0.005759057
AUS,Australia,Mali,2022,0
AUS,Australia,Papua New Guinea,2022,0.20418474
AUS,Australia,Portugal,2022,0.029057059
AUS,Australia,Singapore,2022,1.509919975
AUS,Australia,Cook Islands,2022,0
AUS,Australia,Macau,2022,0.14895015
AUS,Australia,Afghanistan,2022,0.019109597
AUS,Australia,Israel,2022,0.023821553
AUS,Australia,Armenia,2022,0
AUS,Australia,Latvia,2022,0.00445018
AUS,Australia,Canada,2022,0.660459102
AUS,Australia,Georgia,2022,0
AUS,Australia,Bahrain,2022,0.014135867
AUS,Australia,Cambodia,2022,0.518053334
AUS,Australia,Hungary,2022,0.025392205
AUS,Australia,Spain,2022,0.170677501
AUS,Australia,San Marino,2022,0
AUS,Australia,Paraguay,2022,0.011779889
AUS,Australia,Pakistan,2022,2.693144366
AUS,Australia,Puerto Rico,2022,0.001832427
AUS,Australia,Montenegro,2022,0
AUS,Australia,Gambia,2022,0
AUS,Australia,Argentina,2022,0.201043436
AUS,Australia,Oman,2022,0.081412121
AUS,Australia,Mongolia,2022,0.452609507
AUS,Australia,Bermuda,2022,0
AUS,Australia,Kosovo,2022,0
AUS,Australia,Angola,2022,0
AUS,Australia,United Kingdom,2022,0.576429228
AUS,Australia,C�te d'Ivoire,2022,0
AUS,Australia,Cameroon,2022,0.007853259
AUT,Austria,Venezuela,2022,0.05865613
AUT,Austria,Egypt,2022,0.51362877
AUT,Austria,Somalia,2022,0.010563808
AUT,Austria,Northern America unspecified,2022,0
AUT,Austria,Djibouti,2022,0
AUT,Austria,Eswatini,2022,0
AUT,Austria,Ghana,2022,0.035212693
AUT,Austria,Gabon,2022,0
AUT,Austria,Guatemala,2022,0.058572793
AUT,Austria,Kuwait,2022,0.00997693
AUT,Austria,Sri Lanka,2022,0.023475129
AUT,Austria,Guinea-Bissau,2022,0.001173756
AUT,Austria,Fiji,2022,0
AUT,Austria,Ethiopia,2022,0.043428988
AUT,Austria,Lebanon,2022,0.084510463
AUT,Austria,Vanuatu,2022,0
AUT,Austria,Gibraltar,2022,0
AUT,Austria,Albania,2022,0.602666411
AUT,Austria,Mauritania,2022,0
AUT,Austria,Greece,2022,0.584924535
AUT,Austria,Dominica,2022,0.001173756
AUT,Austria,Tunisia,2022,0.091487271
AUT,Austria,Rwanda,2022,0.009390051
AUT,Austria,Congo,2022,0.005868782
AUT,Austria,Jordan,2022,0.088739507
AUT,Austria,Bhutan,2022,0.003521269
AUT,Austria,Serbia,2022,1.647213188
AUT,Austria,New Zealand,2022,0.09093854
AUT,Austria,Morocco,2022,0.109061535
AUT,Austria,Uruguay,2022,0.009236289
AUT,Austria,Chad,2022,0.001173756
AUT,Austria,Honduras,2022,0.012911321
AUT,Austria,Tajikistan,2022,0.019953859
AUT,Austria,Lao People’s Democratic Republic,2022,0.002347513
AUT,Austria,Mauritius,2022,0.004695026
AUT,Austria,Indonesia,2022,0.083336706
AUT,Austria,Marshall Islands,2022,0
AUT,Austria,Europe,2022,84.27324846
AUT,Austria,Bulgaria,2022,1.628975556
AUT,Austria,Luxembourg,2022,1.593616926
AUT,Austria,Northern America,2022,1.372865709
AUT,Austria,Korea,2022,0.002347513
AUT,Austria,Cyprus,2022,0.078641681
AUT,Austria,Lesotho,2022,0
AUT,Austria,Croatia,2022,1.257199702
AUT,Austria,Kenya,2022,0.069251629
AUT,Austria,Iceland,2022,0.015258834
AUT,Austria,Bermuda,2022,0
AUT,Austria,Liechtenstein,2022,0.201641436
AUT,Austria,Malta,2022,0.007433791
AUT,Austria,Korea,2022,0.198560462
AUT,Austria,Barbados,2022,0.002347513
AUT,Austria,Central African Republic,2022,0
AUT,Austria,Netherlands,2022,0.920778269
AUT,Austria,Germany,2022,42.76018018
AUT,Austria,Belarus,2022,0.202414296
AUT,Austria,Cayman Islands,2022,0
AUT,Austria,Norway,2022,0.088031732
AUT,Austria,Bangladesh,2022,0.122070668
AUT,Austria,Nigeria,2022,0.148186749
AUT,Austria,Belize,2022,0
AUT,Austria,British Virgin Islands,2022,0
AUT,Austria,Madagascar,2022,0.014085077
AUT,Austria,Benin,2022,0.002347513
AUT,Austria,Brunei Darussalam,2022,0.001173756
AUT,Austria,Turkmenistan,2022,0.019953859
AUT,Austria,Slovak Republic,2022,1.042005789
AUT,Austria,Anguilla,2022,0
AUT,Austria,Switzerland,2022,1.52852777
AUT,Austria,Slovenia,2022,0.779455717
AUT,Austria,Azerbaijan,2022,0.109159348
AUT,Austria,Tuvalu,2022,0
AUT,Austria,Chile,2022,0.075120411
AUT,Austria,Montserrat,2022,0
AUT,Austria,Oceania,2022,0.214616081
AUS,Australia,Cabo Verde,2022,0
AUS,Australia,Morocco,2022,0.005759057
AUT,Austria,Namibia,2022,0.008216295
AUT,Austria,Other countries unspecified,2022,2.178791829
AUT,Austria,Japan,2022,0.203059862
AUT,Austria,Cabo Verde,2022,0.002347513
AUT,Austria,Kazakhstan,2022,0.456374281
AUT,Austria,Ireland,2022,0.186379463
AUT,Austria,El Salvador,2022,0.011150686
AUT,Austria,Denmark,2022,0.181112964
AUT,Austria,China,2022,0.73790154
AUT,Austria,Burundi,2022,0.010563808
AUT,Austria,Sudan,2022,0.029735163
AUT,Austria,Afghanistan,2022,0.082340774
AUT,Austria,Israel,2022,0.124613807
AUT,Austria,Jamaica,2022,0.001173756
AUT,Austria,Romania,2022,1.279664274
AUT,Austria,Puerto Rico,2022,0
AUT,Austria,Cook Islands,2022,0
AUT,Austria,Saint Lucia,2022,0.001173756
AUT,Austria,Niger,2022,0
AUT,Austria,Ukraine,2022,1.960333255
AUT,Austria,Portugal,2022,0.168613632
AUT,Austria,Macau,2022,0
AUT,Austria,Mali,2022,0.004695026
AUT,Austria,Bahrain,2022,0.003521269
AUT,Austria,Georgia,2022,0.226143738
AUT,Austria,Armenia,2022,0.077467924
AUT,Austria,Canada,2022,0.195292675
AUT,Austria,Singapore,2022,0.017606346
AUT,Austria,Papua New Guinea,2022,0
AUT,Austria,Spain,2022,0.797794667
AUT,Austria,Hungary,2022,2.669471366
AUT,Austria,Cambodia,2022,0.004695026
AUT,Austria,San Marino,2022,0
AUT,Austria,Paraguay,2022,0.014085077
AUT,Austria,Eritrea,2022,0
AUT,Austria,Oman,2022,0.029148285
AUT,Austria,Latvia,2022,0.121442415
AUT,Austria,Montenegro,2022,0.149849571
AUT,Austria,Niue,2022,0
AUT,Austria,Kiribati,2022,0
AUT,Austria,Mongolia,2022,0.15712197
AUT,Austria,Haiti,2022,0
AUT,Austria,Poland,2022,0.912219883
AUT,Austria,Nicaragua,2022,0.017644376
AUT,Austria,Pakistan,2022,0.229717748
AUT,Austria,Palestinian Authority or West Bank and Gaza Strip,2022,0
AUT,Austria,Brazil,2022,0.381587784
AUT,Austria,Ecuador,2022,0.063969725
AUT,Austria,Andorra,2022,0
AUT,Austria,Argentina,2022,0.077319972
AUT,Austria,Iraq,2022,0.112416522
AUT,Austria,Angola,2022,0
AUT,Austria,Gambia,2022,0.010563808
AUT,Austria,Turks and Caicos Islands,2022,0
AUT,Austria,Turkey,2022,1.548419479
AUT,Austria,United Kingdom,2022,1.326204645
AUT,Austria,Kosovo,2022,0.577972728
AUT,Austria,Cameroon,2022,0.03512114
AUT,Austria,Botswana,2022,0.002347513
AUT,Austria,Malaysia,2022,0.044602744
AUT,Austria,Antigua and Barbuda,2022,0
AUT,Austria,Estonia,2022,0.089205488
AUT,Austria,Bahamas,2022,0.002347513
AUT,Austria,Palau,2022,0.001173756
AUT,Austria,Cuba,2022,0.019953859
AUT,Austria,Guinea,2022,0.001173756
AUT,Austria,Kyrgyzstan,2022,0.110333104
AUT,Austria,Moldova,2022,0.156630753
AUT,Austria,Uzbekistan,2022,0.086857976
AUT,Austria,Malawi,2022,0.004695026
AUT,Austria,Samoa,2022,0
AUT,Austria,C�te d'Ivoire,2022,0.004695026
AUT,Austria,Dominican Republic,2022,0.008216295
AUT,Austria,Saint Vincent and the Grenadines,2022,0.002347513
AUT,Austria,Viet Nam,2022,0.11502813
AUT,Austria,Monaco,2022,0.002347513
AUT,Austria,France,2022,0.782656677
AUT,Austria,Lithuania,2022,0.098399914
AUT,Austria,South Sudan,2022,0
AUT,Austria,Seychelles,2022,0.001173756
AUT,Austria,Togo,2022,0.004695026
AUT,Austria,Suriname,2022,0
AUT,Austria,Sao Tome and Principe,2022,0
AUS,Australia,Palestinian Authority or West Bank and Gaza Strip,2022,0.005235506
AUS,Australia,Niue,2022,0
AUT,Austria,Senegal,2022,0.001760635
AUT,Austria,Sint Maarten,2022,0
AUT,Austria,Solomon Islands,2022,0.001173756
AUT,Austria,Europe unspecified,2022,0
AUT,Austria,Sierra Leone,2022,0.003521269
AUT,Austria,Zimbabwe,2022,0.007042539
AUT,Austria,Uganda,2022,0.038733962
AUT,Austria,Yemen,2022,0.01193319
AUT,Austria,World,2022,100
AUT,Austria,Asia,2022,8.863641335
AUT,Austria,Oceania unspecified,2022,0
AUT,Austria,Asia unspecified,2022,0
AUT,Austria,Trinidad and Tobago,2022,0
BEL,Belgium,Croatia,2022,0.100453836
BEL,Belgium,Korea,2022,0.154268391
BEL,Belgium,Liechtenstein,2022,0
BEL,Belgium,Kenya,2022,0.15606221
BEL,Belgium,Iceland,2022,0.021525822
BEL,Belgium,Germany,2022,1.287961684
BEL,Belgium,Madagascar,2022,0.150680754
BEL,Belgium,Bermuda,2022,0
BEL,Belgium,China,2022,2.211778212
BEL,Belgium,Cayman Islands,2022,0
BEL,Belgium,Netherlands,2022,7.58964608
BEL,Belgium,Norway,2022,0.059196011
BEL,Belgium,Belize,2022,0.001793819
BEL,Belgium,Barbados,2022,0
BEL,Belgium,Belarus,2022,0.087897107
BEL,Belgium,Brazil,2022,0.62245502
BEL,Belgium,British Virgin Islands,2022,0
BEL,Belgium,Brunei Darussalam,2022,0
BEL,Belgium,Benin,2022,0.396433889
BEL,Belgium,Ecuador,2022,0.245753135
BEL,Belgium,Bulgaria,2022,0.218845857
BEL,Belgium,Nigeria,2022,0.333650241
BEL,Belgium,United Kingdom,2022,0.600929198
BEL,Belgium,Australia,2022,0.073546559
BEL,Belgium,Ireland,2022,0.145299299
BEL,Belgium,Kyrgyzstan,2022,0.023319641
BEL,Belgium,Equatorial Guinea,2022,0
BEL,Belgium,Other countries unspecified,2022,9.381670763
BEL,Belgium,Japan,2022,0.154268391
BEL,Belgium,El Salvador,2022,0.037670189
BEL,Belgium,Denmark,2022,0.059196011
BEL,Belgium,Honduras,2022,0.030494915
BEL,Belgium,Tokelau,2022,0
BEL,Belgium,Mauritania,2022,0.016144367
BEL,Belgium,Bolivia,2022,0.098660018
BEL,Belgium,Europe,2022,58.44619441
BEL,Belgium,Kazakhstan,2022,0.113010566
BEL,Belgium,Burundi,2022,0.304949145
BEL,Belgium,Holy See,2022,0
BEL,Belgium,India,2022,1.372271154
BEL,Belgium,Oceania,2022,0.102247655
BEL,Belgium,Djibouti,2022,0.028701096
BEL,Belgium,Democratic Republic of the Congo,2022,1.756148313
BEL,Belgium,Azerbaijan,2022,0.193732398
BEL,Belgium,Zambia,2022,0.01255673
BEL,Belgium,Chile,2022,0.166825121
BEL,Belgium,Comoros,2022,0.007175274
BEL,Belgium,Myanmar,2022,0.026907278
BEL,Belgium,Burkina Faso,2022,0.220639676
BEL,Belgium,Tuvalu,2022,0
BEL,Belgium,Panama,2022,0.017938185
BEL,Belgium,United Arab Emirates,2022,0.211670583
BEL,Belgium,Libya,2022,0.01255673
BEL,Belgium,Greece,2022,0.679857212
AUT,Austria,Tonga,2022,0
AUT,Austria,Czechia,2022,0.598811404
AUT,Austria,Africa,2022,1.582304457
AUT,Austria,Grenada,2022,0.001173756
AUT,Austria,Curaçao,2022,0
AUT,Austria,North Macedonia,2022,0.259987049
AUT,Austria,Guyana,2022,0
AUT,Austria,Bosnia and Herzegovina,2022,3.014594646
AUT,Austria,Liberia,2022,0.003521269
AUT,Austria,Latin America and the Caribbean unspecified,2022,0
AUT,Austria,United States,2022,1.177573033
AUT,Austria,Italy,2022,11.28187846
AUT,Austria,Maldives,2022,0
AUT,Austria,Latin America and the Caribbean,2022,1.514532133
AUT,Austria,Belgium,2022,0.31075129
AUT,Austria,Sweden,2022,0.198364836
AUT,Austria,India,2022,0.80765945
AUT,Austria,Iran,2022,1.666486734
AUT,Austria,Mozambique,2022,0.005868782
AUT,Austria,Costa Rica,2022,0.036973327
AUT,Austria,Nepal,2022,0.223013721
AUT,Austria,Syrian Arab Republic,2022,0.607333795
AUT,Austria,Panama,2022,0.004695026
AUT,Austria,Qatar,2022,0.008216295
AUT,Austria,Philippines,2022,0.093900514
AUT,Austria,Nauru,2022,0
AUT,Austria,Russia,2022,2.10454455
AUT,Austria,Peru,2022,0.098393889
AUT,Austria,Africa unspecified,2022,0
AUT,Austria,Algeria,2022,0.04284211
AUT,Austria,Colombia,2022,0.259681872
AUT,Austria,Aruba,2022,0
AUT,Austria,Saint Kitts and Nevis,2022,0
BEL,Belgium,Malaysia,2022,0.053814555
BEL,Belgium,Antigua and Barbuda,2022,0
BEL,Belgium,Estonia,2022,0.028701096
BEL,Belgium,Cuba,2022,0.050226918
BEL,Belgium,Iraq,2022,0.148886936
BEL,Belgium,Bangladesh,2022,0.150680754
BEL,Belgium,Palau,2022,0
BEL,Belgium,C�te d'Ivoire,2022,0.281629505
BEL,Belgium,Botswana,2022,0.010762911
BEL,Belgium,Malawi,2022,0.010762911
BEL,Belgium,Uzbekistan,2022,0.021525822
BEL,Belgium,Moldova,2022,0.095072381
BEL,Belgium,Tanzania,2022,0.039464007
BEL,Belgium,Samoa,2022,0
BEL,Belgium,Viet Nam,2022,0.374908067
BEL,Belgium,Dominican Republic,2022,0.037670189
BEL,Belgium,Saint Vincent and the Grenadines,2022,0
BEL,Belgium,Lithuania,2022,0.121979658
BEL,Belgium,France,2022,35.46020414
BEL,Belgium,South Sudan,2022,0.023319641
BEL,Belgium,Turks and Caicos Islands,2022,0
BEL,Belgium,Gambia,2022,0.01255673
BEL,Belgium,Seychelles,2022,0.001793819
BEL,Belgium,Togo,2022,0.217052039
BEL,Belgium,Suriname,2022,0.204495309
BEL,Belgium,Trinidad and Tobago,2022,0.014350548
BEL,Belgium,Sao Tome and Principe,2022,0
BEL,Belgium,Sint Maarten,2022,0
BEL,Belgium,Sierra Leone,2022,0.021525822
BEL,Belgium,Europe unspecified,2022,0.01255673
BEL,Belgium,Guinea,2022,0.290598597
BEL,Belgium,Senegal,2022,0.206289128
BEL,Belgium,Finland,2022,0.10762911
BEL,Belgium,Uganda,2022,0.087897107
BEL,Belgium,Zimbabwe,2022,0.059196011
BEL,Belgium,Venezuela,2022,0.12018584
BEL,Belgium,Yemen,2022,0.01255673
BEL,Belgium,Asia,2022,10.55482806
BEL,Belgium,Oceania unspecified,2022,0
BEL,Belgium,Eswatini,2022,0.001793819
BEL,Belgium,Northern America unspecified,2022,0
BEL,Belgium,Sri Lanka,2022,0.03587637
BEL,Belgium,Solomon Islands,2022,0.001793819
BEL,Belgium,Fiji,2022,0
BEL,Belgium,Kuwait,2022,0.030494915
BEL,Belgium,Gabon,2022,0.050226918
BEL,Belgium,Ethiopia,2022,0.190144761
BEL,Belgium,Lebanon,2022,0.722908856
BEL,Belgium,Guatemala,2022,0.028701096
BEL,Belgium,Asia unspecified,2022,0.182969487
BEL,Belgium,Ghana,2022,0.139917843
BEL,Belgium,Vanuatu,2022,0
BEL,Belgium,Tunisia,2022,0.539939369
BEL,Belgium,Gibraltar,2022,0.001793819
